,YEAR,BOARDS,ALIGHTS
River Grove,2018,333,282
River Grove,2016,316,287
River Grove,2014,310,298
River Grove,2006,298,288
River Grove,2002,336,332
River Grove,1999,360,340
River Grove,1997,324,350
River Grove,1995,285,293
River Grove,1993,244,251
River Grove,1991,244,234
River Grove,1989,238,229
River Grove,1987,222,224
River Grove,1985,254,246
River Grove,1983,222,198
River Grove,1979,382,0
Riverdale,2018,146,162
Riverdale,2016,180,195
Riverdale,2014,201,215
Riverdale,2006,397,394
Riverdale,2002,500,495
Riverdale,1999,580,548
Riverdale,1997,533,522
Riverdale,1995,568,563
Riverdale,1993,604,633
Riverdale,1991,602,622
Riverdale,1989,661,661
Riverdale,1987,698,722
Riverdale,1985,794,841
Riverdale,1983,747,780
Riverdale,1979,935,0
Riverside,2018,493,574
Riverside,2016,499,574
Riverside,2014,501,608
Riverside,2006,416,574
Riverside,2002,438,562
Riverside,1999,466,542
Riverside,1997,492,482
Riverside,1995,482,471
Riverside,1993,490,528
Riverside,1991,468,485
Riverside,1989,583,584
Riverside,1987,510,521
Riverside,1985,570,562
Riverside,1983,531,517
Riverside,1979,658,0
Robbins,2018,65,137
Robbins,2016,89,122
Robbins,2014,77,89
Robbins,2006,152,167
Robbins,2002,113,126
Robbins,1999,94,96
Robbins,1997,119,143
Robbins,1995,142,125
Robbins,1993,135,122
Robbins,1991,111,105
Robbins,1989,72,76
Robbins,1987,53,107
Robbins,1985,60,49
Robbins,1983,27,36
Robbins,1979,48,0
Rogers Park,2018,1393,1261
Rogers Park,2016,1389,1220
Rogers Park,2014,1498,1273
Rogers Park,2006,1176,1122
Rogers Park,2002,973,861
Rogers Park,1999,1072,1030
Rogers Park,1997,977,908
Rogers Park,1995,877,824
Rogers Park,1993,924,860
Rogers Park,1991,881,865
Rogers Park,1989,742,687
Rogers Park,1987,611,685
Rogers Park,1985,511,488
Rogers Park,1983,464,468
Rogers Park,1979,724,0
Rolling Prairie,1989,1,1
Romeoville,2018,148,144
Rondout,1983,17,17
Rondout,1979,36,0
Museum Campus/11th St,2018,370,477
Museum Campus/11th St,2016,484,628
Museum Campus/11th St,2014,429,571
Museum Campus/11th St,2006,583,916
Museum Campus/11th St,2002,413,668
Museum Campus/11th St,1999,579,609
Museum Campus/11th St,1997,433,566
Museum Campus/11th St,1995,420,513
Museum Campus/11th St,1993,475,550
Museum Campus/11th St,1991,335,609
Museum Campus/11th St,1989,297,600
Museum Campus/11th St,1987,302,457
Museum Campus/11th St,1985,525,485
Museum Campus/11th St,1983,410,484
Museum Campus/11th St,1979,649,0
Roselle,2018,1448,1369
Roselle,2016,1455,1409
Roselle,2014,1277,1361
Roselle,2006,1500,1484
Roselle,2002,1298,1325
Roselle,1999,1617,1672
Roselle,1997,1628,1645
Roselle,1995,1620,1643
Roselle,1993,1797,1805
Roselle,1991,1760,1729
Roselle,1989,1827,1824
Roselle,1987,1736,1795
Roselle,1985,1621,1619
Roselle,1983,1455,1362
Roselle,1979,2571,0
Rosemont,2018,27,28
Rosemont,2016,35,33
Rosemont,2014,33,36
Rosemont,2006,23,32
Round Lake,2018,395,406
Round Lake,2016,417,337
Round Lake,2014,513,471
Round Lake,2006,710,660
Round Lake,2002,566,550
Round Lake,1999,534,517
Round Lake,1997,498,486
Round Lake,1995,487,471
Round Lake,1993,428,433
Round Lake,1991,371,385
Round Lake,1989,406,407
Round Lake,1987,356,358
Round Lake,1985,333,330
Round Lake,1983,317,329
Round Lake,1979,518,0
Round Lake Beach,2018,111,91
Round Lake Beach,2016,115,111
Round Lake Beach,2014,157,155
Round Lake Beach,2006,154,147
Round Lake Beach,2002,157,141
Round Lake Beach,1999,130,127
Round Lake Beach,1997,111,98
Route 59,2018,6339,6103
Route 59,2016,5781,5547
Route 59,2014,5874,5363
Route 59,2006,5793,6094
Route 59,2002,5001,4976
Route 59,1999,4178,4071
Route 59,1997,3322,3211
Route 59,1995,2556,2538
Route 59,1993,2011,2001
Route 59,1991,1740,1728
Route 59,1989,1112,1129
Schaumburg,2018,1583,1563
Schaumburg,2016,1727,1735
Schaumburg,2014,1737,1771
Schaumburg,2006,1698,1663
Schaumburg,2002,1609,1634
Schaumburg,1999,1733,1673
Schaumburg,1997,1647,1618
Schaumburg,1995,1569,1581
Schaumburg,1993,1363,1338
Schaumburg,1991,1238,1254
Schaumburg,1989,1147,1124
Schaumburg,1987,961,950
Schaumburg,1985,693,648
Schaumburg,1983,480,494
Schiller Park,2018,41,48
Schiller Park,2016,36,31
Schiller Park,2014,29,33
Schiller Park,2006,29,22
Solon Mills,1979,3,0
South Bend Airport,2006,172,163
South Bend Airport,2002,105,102
South Bend Airport,1999,133,92
South Bend Airport,1997,104,98
South Bend Airport,1989,79,73
South Shore,2018,121,111
South Shore,2016,182,142
South Shore,2014,179,164
South Shore,2006,278,255
South Shore,2002,428,431
South Shore,1999,442,454
South Shore,1997,445,451
South Shore,1995,395,396
South Shore,1993,414,375
South Shore,1991,458,429
South Shore,1989,372,392
South Shore,1987,338,346
South Shore,1985,387,393
South Shore,1983,349,379
South Shore,1979,448,0
Spring Grove,1979,2,0
State Street,2018,41,33
State Street,2016,30,32
State Street,2014,54,46
State Street,2006,85,84
State Street,2002,72,67
State Street,1999,103,87
State Street,1997,94,83
State Street,1995,86,73
State Street,1993,87,86
State Street,1991,104,89
State Street,1989,81,55
State Street,1987,91,80
State Street,1985,81,70
State Street,1983,51,66
State Street,1979,129,0
Stewart Ridge,2018,19,20
Stewart Ridge,2016,36,28
Stewart Ridge,2014,37,38
Stewart Ridge,2006,61,55
Stewart Ridge,2002,75,56
Stewart Ridge,1999,89,81
Stewart Ridge,1997,84,71
Stewart Ridge,1995,68,60
Stewart Ridge,1993,67,70
Stewart Ridge,1991,86,52
Stewart Ridge,1989,90,73
Stewart Ridge,1987,64,51
Stewart Ridge,1985,68,71
Stewart Ridge,1983,48,48
Stewart Ridge,1979,121,0
Stone Avenue (LaGrange),2018,946,822
Stone Avenue (LaGrange),2016,1046,864
Stone Avenue (LaGrange),2014,1026,905
Stone Avenue (LaGrange),2006,988,866
Stone Avenue (LaGrange),2002,999,894
Stone Avenue (LaGrange),1999,1123,1032
Stone Avenue (LaGrange),1997,1153,1057
Stone Avenue (LaGrange),1995,1090,1022
Stone Avenue (LaGrange),1993,1078,1013
Stone Avenue (LaGrange),1991,1171,1045
Stone Avenue (LaGrange),1989,1101,994
Stone Avenue (LaGrange),1987,1089,961
Stone Avenue (LaGrange),1985,985,1014
Stone Avenue (LaGrange),1983,1017,978
Stone Avenue (LaGrange),1979,1334,0
Stony Island,2018,99,86
Stony Island,2016,109,141
Stony Island,2014,161,135
Stony Island,2006,197,213
Stony Island,2002,236,229
Stony Island,1999,235,246
Stony Island,1997,221,246
Stony Island,1995,201,195
Stony Island,1993,210,200
Stony Island,1991,263,230
Stony Island,1989,247,288
Stony Island,1987,192,186
Stony Island,1985,182,240
Stony Island,1983,175,165
Stony Island,1979,160,0
Summit,2018,101,103
Summit,2016,100,104
Summit,2014,86,78
Summit,2006,64,80
Summit,2002,79,82
Summit,1999,66,76
Summit,1997,62,56
Summit,1995,74,79
Summit,1993,123,130
Summit,1991,144,160
Summit,1989,109,108
Summit,1987,107,94
Summit,1985,73,76
Summit,1983,44,54
Summit,1979,58,0
Tinley Park,2018,917,954
Tinley Park,2016,1060,959
Tinley Park,2014,983,1042
Tinley Park,2006,1232,1230
Tinley Park,2002,1193,1217
Tinley Park,1999,1247,1268
Tinley Park,1997,1169,1156
Tinley Park,1995,1331,1336
Tinley Park,1993,1350,1338
Tinley Park,1991,1356,1420
Tinley Park,1989,1397,1350
Tinley Park,1987,1106,1109
Tinley Park,1985,967,964
Tinley Park,1983,910,887
Tinley Park,1979,1213,0
Union Station,2018,54882,55979
Union Station,2016,55494,55565
Union Station,2014,54422,55098
Union Station,2006,54388,54292
Union Station,2002,49883,50337
Union Station,1999,51221,52181
Union Station,1997,48579,48930
Union Station,1995,45307,45732
Union Station,1993,43920,44090
Union Station,1991,42301,42054
Union Station,1989,42409,42471
Union Station,1987,39510,40140
Union Station,1985,35968,36783
Union Station,1983,32834,33444
Union Station,1979,43231,0
University Park,2018,808,777
University Park,2016,907,828
University Park,2014,939,935
University Park,2006,1243,1217
University Park,2002,1004,979
University Park,1999,1009,1017
University Park,1997,851,861
University Park,1995,912,924
University Park,1993,772,781
University Park,1991,790,816
University Park,1989,782,761
University Park,1987,628,629
University Park,1985,475,564
University Park,1983,411,457
University Park,1979,711,0
Van Buren Street,2018,2734,3493
Van Buren Street,2016,3141,3893
Van Buren Street,2014,3422,4268
Van Buren Street,2006,6110,8247
Van Buren Street,2002,6896,8583
Van Buren Street,1999,7710,9628
Van Buren Street,1997,7231,8905
Van Buren Street,1995,6928,8507
Van Buren Street,1993,7064,8654
Van Buren Street,1991,6968,8313
Van Buren Street,1989,7642,8475
Van Buren Street,1987,7261,8908
Van Buren Street,1985,6522,7751
Van Buren Street,1983,5866,7444
Van Buren Street,1979,6942,0
Vernon Hills,2018,409,365
Vernon Hills,2016,370,384
Vernon Hills,2014,435,436
Vernon Hills,2006,353,335
Vernon Hills,2002,284,256
Vernon Hills,1999,272,249
Vernon Hills,1997,231,226
Villa Park,2018,870,852
Villa Park,2016,828,825
Villa Park,2014,841,898
Villa Park,2006,835,831
Villa Park,2002,914,896
Villa Park,1999,949,950
Villa Park,1997,1015,1003
Villa Park,1995,973,982
Villa Park,1993,1055,1037
Villa Park,1991,1138,1142
Villa Park,1989,1219,1228
Villa Park,1987,1328,1272
Villa Park,1985,1206,1265
Villa Park,1983,1289,1249
Villa Park,1979,1562,0
"Walworth, Wisconsin",1979,12,0
Washington Heights,2018,101,123
Washington Heights,2016,107,137
Washington Heights,2014,168,161
Washington Heights,2002,249,286
Washington Heights,1999,220,241
Washington Heights,1997,198,207
Washington Heights,1995,197,207
Washington Heights,1993,217,243
Washington Heights,1991,216,197
Washington Heights,1989,138,190
Washington Heights,1987,95,136
Washington Heights,1985,74,89
Washington Heights,1983,80,60
Washington Heights,1979,61,0
Washington St,2018,86,84
Washington St,2016,110,95
Washington St,2014,122,108
Washington St,2006,109,112
Waukegan,2018,764,737
Waukegan,2016,911,796
Waukegan,2014,910,926
Waukegan,2006,1030,1014
Waukegan,2002,893,924
Waukegan,1999,925,919
Waukegan,1997,806,810
Waukegan,1995,841,876
Waukegan,1993,752,754
Waukegan,1991,780,763
Waukegan,1989,694,682
Waukegan,1987,644,649
Waukegan,1985,614,630
Waukegan,1983,553,577
Waukegan,1979,876,0
West Chicago,2018,586,589
West Chicago,2016,527,556
West Chicago,2014,576,583
West Chicago,2006,588,588
West Chicago,2002,585,584
West Chicago,1999,499,505
West Chicago,1997,518,526
West Chicago,1995,520,510
West Chicago,1993,495,510
West Chicago,1991,485,493
West Chicago,1989,464,471
West Chicago,1987,474,504
West Chicago,1985,386,359
West Chicago,1983,371,383
West Chicago,1979,499,0
West Hinsdale,2018,306,306
West Hinsdale,2016,376,304
West Hinsdale,2014,351,281
West Hinsdale,2006,323,272
West Hinsdale,2002,317,262
West Hinsdale,1999,378,338
West Hinsdale,1997,374,318
West Hinsdale,1995,409,356
West Hinsdale,1993,367,315
West Hinsdale,1991,340,331
West Hinsdale,1989,439,377
West Hinsdale,1987,468,397
West Hinsdale,1985,411,408
West Hinsdale,1983,338,355
West Hinsdale,1979,393,0
West Pullman,2018,13,9
West Pullman,2016,22,19
West Pullman,2014,21,32
West Pullman,2006,24,36
West Pullman,2002,34,33
West Pullman,1999,69,57
West Pullman,1997,43,45
West Pullman,1995,57,53
West Pullman,1993,46,43
West Pullman,1991,56,48
West Pullman,1989,36,40
West Pullman,1987,44,67
West Pullman,1985,66,66
West Pullman,1983,57,51
West Pullman,1979,121,0
Western Avenue,1983,19,21
Western Avenue,1979,16,0
Western Avenue (18th),2018,57,73
Western Avenue (18th),2016,69,77
Western Avenue (18th),2014,78,108
Western Avenue (18th),2006,110,117
Western Avenue (18th),2002,77,77
Western Avenue (18th),1999,92,75
Western Avenue (18th),1997,94,81
Western Avenue (18th),1995,92,88
Western Avenue (18th),1993,80,82
Western Avenue (18th),1991,77,131
Western Avenue (18th),1989,109,110
Western Avenue (18th),1987,95,102
Western Avenue (18th),1985,115,114
Western Avenue (18th),1983,116,159
Western Avenue (18th),1979,285,0
Western Avenue (Grand),2018,836,846
Western Avenue (Grand),2016,824,1279
Western Avenue (Grand),2014,851,888
Western Avenue (Grand),2006,842,1355
Western Avenue (Grand),2002,632,1154
Western Avenue (Grand),1999,631,1150
Western Avenue (Grand),1997,520,961
Western Avenue (Grand),1995,358,594
Western Avenue (Grand),1993,322,758
Western Avenue (Grand),1991,404,765
Western Avenue (Grand),1989,355,652
Western Avenue (Grand),1987,223,242
Western Avenue (Grand),1985,296,297
Western Avenue (Grand),1983,294,270
Western Avenue (Grand),1979,581,0
Western Springs,2018,1134,1190
Western Springs,2016,1133,1118
Western Springs,2014,1113,1107
Western Springs,2006,1093,1062
Western Springs,2002,1065,1055
Western Springs,1999,1179,1145
Western Springs,1997,1081,1101
Western Springs,1995,1138,1150
Western Springs,1993,1151,1125
Western Springs,1991,1166,1137
Western Springs,1989,1118,1099
Western Springs,1987,1121,1175
Western Springs,1985,1151,1062
Western Springs,1983,1022,990
Western Springs,1979,1329,0
Westmont,2018,1083,960
Westmont,2016,1058,1096
Westmont,2014,1070,1107
Westmont,2006,1168,1182
Westmont,2002,1243,1236
Westmont,1999,1282,1224
Westmont,1997,1292,1294
Westmont,1995,1290,1232
Westmont,1993,1275,1247
Westmont,1991,1254,1224
Westmont,1989,1273,1308
Westmont,1987,1268,1322
Westmont,1985,1314,1293
Westmont,1983,1305,1263
Westmont,1979,1554,0
Wheaton,2018,1618,1538
Wheaton,2016,1577,1700
Wheaton,2014,1506,1538
Wheaton,2006,1661,1608
Wheaton,2002,1655,1661
Wheaton,1999,1865,1833
Wheaton,1997,1990,1989
Wheaton,1995,2027,2044
Wheaton,1993,2188,2174
Wheaton,1991,2115,2133
Wheaton,1989,2133,2071
Wheaton,1987,2132,2102
Wheaton,1985,1901,1820
Wheaton,1983,1770,1864
Wheaton,1979,2167,0
Wheeling,2018,348,332
Wheeling,2016,353,398
Wheeling,2014,333,334
Wheeling,2006,306,303
Wheeling,2002,235,228
Wheeling,1999,282,247
Wheeling,1997,245,217
Willard Ave.,1989,0,2
Willow Springs,2018,148,159
Willow Springs,2016,115,125
Willow Springs,2014,95,106
Willow Springs,2006,97,111
Willow Springs,2002,142,106
Willow Springs,1999,82,86
Willow Springs,1997,67,100
Willow Springs,1995,82,79
Willow Springs,1993,115,120
Willow Springs,1991,134,122
Willow Springs,1989,142,144
Willow Springs,1987,136,149
Willow Springs,1985,96,41
Willow Springs,1983,84,72
Willow Springs,1979,82,0
Wilmette,2018,1653,1560
Wilmette,2016,1614,1506
Wilmette,2014,1120,1172
Wilmette,2006,1379,1360
Wilmette,2002,1363,1338
Wilmette,1999,1494,1501
Wilmette,1997,1484,1459
Wilmette,1995,1505,1532
Wilmette,1993,1465,1521
Wilmette,1991,1473,1425
Wilmette,1989,1465,1367
Wilmette,1987,1375,1375
Wilmette,1985,1245,1247
Wilmette,1983,1175,1120
Wilmette,1979,1483,0
Wilson Road,1983,14,14
Wilson Road,1979,19,0
Windsor Park,2018,68,55
Windsor Park,2016,95,76
Windsor Park,2014,100,91
Windsor Park,2006,192,167
Windsor Park,2002,313,293
Windsor Park,1999,325,326
Windsor Park,1997,289,278
Windsor Park,1995,261,284
Windsor Park,1993,274,292
Windsor Park,1991,353,312
Windsor Park,1989,381,330
Windsor Park,1987,293,274
Windsor Park,1985,378,361
Windsor Park,1983,266,304
Windsor Park,1979,375,0
Winfield,2018,496,536
Winfield,2016,507,548
Winfield,2014,517,542
Winfield,2006,503,515
Winfield,2002,449,461
Winfield,1999,538,542
Winfield,1997,538,531
Winfield,1995,495,486
Winfield,1993,540,542
Winfield,1991,562,560
Winfield,1989,525,529
Winfield,1987,546,488
Winfield,1985,465,373
Winfield,1983,341,367
Winfield,1979,369,0
Winnetka,2018,754,761
Winnetka,2016,737,741
Winnetka,2014,485,598
Winnetka,2006,562,612
Winnetka,2002,630,634
Winnetka,1999,660,659
Winnetka,1997,668,694
Winnetka,1995,721,718
Winnetka,1993,695,716
Winnetka,1991,689,692
Winnetka,1989,672,666
Winnetka,1987,671,711
Winnetka,1985,656,658
Winnetka,1983,673,635
Winnetka,1979,921,0
Winthrop Harbor,2018,59,73
Winthrop Harbor,2016,61,68
Winthrop Harbor,2014,70,73
Winthrop Harbor,2006,79,85
Winthrop Harbor,2002,77,75
Winthrop Harbor,1999,49,49
Winthrop Harbor,1997,47,47
Winthrop Harbor,1995,57,61
Winthrop Harbor,1993,34,34
Winthrop Harbor,1991,28,27
Winthrop Harbor,1989,17,17
Winthrop Harbor,1987,24,23
Winthrop Harbor,1985,18,21
Winthrop Harbor,1983,21,10
Winthrop Harbor,1979,13,0
Wood Dale,2018,596,585
Wood Dale,2016,624,550
Wood Dale,2014,608,564
Wood Dale,2006,639,635
Wood Dale,2002,551,568
Wood Dale,1999,719,695
Wood Dale,1997,709,735
Wood Dale,1995,672,660
Wood Dale,1993,666,683
Wood Dale,1991,614,607
Wood Dale,1989,708,687
Wood Dale,1987,579,566
Wood Dale,1985,563,566
Wood Dale,1983,497,518
Wood Dale,1979,698,0
Woodstock,2018,273,286
Woodstock,2016,317,308
Woodstock,2014,437,381
Woodstock,2006,456,424
Woodstock,2002,415,410
Woodstock,1999,349,352
Woodstock,1997,314,341
Woodstock,1995,357,358
Woodstock,1993,365,387
Woodstock,1991,327,319
Woodstock,1989,289,292
Woodstock,1987,308,256
Woodstock,1985,183,224
Woodstock,1983,166,165
Woodstock,1979,342,0
Worth,2018,406,382
Worth,2016,419,431
Worth,2014,430,435
Worth,2006,445,451
Worth,2002,450,399
Worth,1999,557,565
Worth,1997,547,489
Worth,1995,480,474
Worth,1993,413,397
Worth,1991,417,398
Worth,1989,413,374
Worth,1987,335,301
Worth,1985,234,232
Worth,1983,204,201
Worth,1979,213,0
Wrightwood,2018,261,260
Wrightwood,2016,226,227
Wrightwood,2014,294,295
Wrightwood,2006,296,283
Wrightwood,2002,152,157
Wrightwood,1999,197,221
Wrightwood,1997,174,148
Wrightwood,1995,147,149
Wrightwood,1993,194,203
Wrightwood,1991,210,202
Wrightwood,1989,238,234
Wrightwood,1987,220,211
Wrightwood,1985,138,138
Wrightwood,1983,130,128
Wrightwood,1979,141,0
"Zenda, Wisconsin",1979,12,0
Zion,2018,110,102
Zion,2016,124,122
Zion,2014,155,155
Zion,2006,152,157
Zion,2002,103,107
Zion,1999,93,89
Zion,1997,91,86
Zion,1995,94,90
Zion,1993,100,104
Zion,1991,92,84
Zion,1989,78,85
Zion,1987,85,83
Zion,1985,67,74
Zion,1983,81,85
Zion,1979,130,0
